year,d candidate,r candidate,d campaign spend (m),r campaign spend (m),d single-candidate super pac (m),r single-candidate super pac (m)
1960,Kennedy,Nixon,9.8,10.1,0,0
1964,Johnson,Goldwater,8.8,16,0,0
1968,Humphrey,Nixon,11.6,25.4,0,0
1972,McGovern,Nixon,30,61.4,0,0
1976,Carter,Ford,33.4,35.8,0,0
1980,Carter,Reagan,49,57.7,0,0
1984,Mondale,Reagan,66.7,67.5,0,0
1988,Dukakis,G.H.W. Bush,77.3,80,0,0
1992,B. Clinton,G.H.W. Bush,107.9,97.4,0,0
1996,B. Clinton,Dole,115.4,66.8,0,0
2000,Gore,G.W. Bush,120.3,186.5,0,0
2004,Kerry,G.W. Bush,332.7,355,0,0
2008,Obama,McCain,760.4,239.7,0,0
2012,Obama,Romney,737.1,458.7,70.5,143.3
2016,H. Clinton,Trump,450.6,239,137,30.6
