state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,15.6,16.5,16.6,17.1,16.1,17,16.6,16.9,15.7,17.5,19,19,19,18.7,19.3,18.5,17.1
Alaska,9.1,7.2,7.7,9.7,8.2,11.2,10.9,8.9,8.4,9,9.9,10.5,10.1,9.3,11.2,10.3,9.9
Arizona,15.6,13.7,14.2,15.4,14.2,14.2,14.2,14.2,14.7,16.5,17.4,19,18.7,18.6,18.2,17.4,16.4
Arkansas,17,15.4,15.3,16,17.9,17.2,17.3,17.9,17.3,18.8,18.8,19.5,19.8,19.7,18.9,19.1,17.2
California,13.7,12.8,13,13.4,13.3,13.3,13.1,12.4,13.3,14.2,15.8,16.6,17,16.8,16.4,15.3,14.3
Colorado,8.7,9.6,9.7,9.8,11.1,11.1,12,12,11.4,12.9,13.4,13.5,13.7,13,12,11.5,11
Connecticut,7.7,7.3,7.5,8.1,7.6,8.3,8.3,7.9,9.3,9.4,10.1,10.9,10.7,10.7,10.8,10.5,9.8
Delaware,9.3,9.8,8.2,8.7,9.9,10.4,11.1,10.5,10,10.8,11.8,11.9,12,12.4,12.5,12.4,11.7
District of Columbia,17.5,18.1,17.5,19.9,18.9,19,19.6,16.4,17.2,18.4,19.2,18.7,18.2,18.9,17.7,17.3,18.6
Florida,12.8,12.5,12.8,13.1,12.2,12.8,12.6,12.1,13.2,14.9,16.5,17,17.1,17,16.5,15.7,14.7
Georgia,12.6,11.7,12.7,13.4,14.8,14.4,14.7,14.3,14.7,16.5,17.9,19.1,19.2,19,18.3,17,16
Hawaii,8.8,10.4,10.1,10.9,10.6,9.8,9.3,8,9.1,10.4,10.7,12,11.6,10.8,11.4,10.6,9.3
Idaho,11.4,12,13.8,13.8,14.5,13.9,12.6,12.1,12.6,14.3,15.7,16.5,15.9,15.6,14.8,15.1,14.4
Illinois,11.1,11.2,11.6,11.3,11.9,12,12.3,11.9,12.2,13.3,13.8,15,14.7,14.7,14.4,13.6,13
Indiana,10.1,9.8,10.9,10.6,10.8,12.2,12.7,12.3,13.1,14.1,15.3,16,15.6,15.9,15.2,14.5,14.1
Iowa,10,9.7,11.2,10.1,9.9,10.9,11,11,11.5,11.8,12.6,12.8,12.7,12.7,12.2,12.2,11.8
Kansas,9.5,11.3,12.1,10.8,10.5,11.7,12.4,11.2,11.3,13.4,13.6,13.8,14,14,13.6,13,12.1
Kentucky,16.4,15.4,15.6,17.4,17.4,16.8,17,17.3,17.3,18.6,19,19.1,19.4,18,19.1,18.5,18.5
Louisiana,20,19.1,18.8,20.3,19.4,19.8,19,18.6,17.3,17.3,18.7,20.4,19.9,19.8,19.8,19.6,20.2
Maine,10.1,10.6,11.1,10.5,12.3,12.6,12.9,12,12.3,12.3,12.9,14.1,14.7,14,14.1,13.4,12.5
Maryland,9.3,8.1,8.1,8.2,8.8,8.2,7.8,8.3,8.1,9.1,9.9,10.1,10.3,10.1,10.1,9.7,9.7
Massachusetts,9.6,8.7,8.9,9.4,9.2,10.3,9.9,9.9,10,10.3,11.4,11.6,11.9,11.9,11.6,11.5,10.4
Michigan,10.1,10.6,11,11.4,12.3,13.2,13.5,14,14.4,16.2,16.8,17.5,17.4,17,16.2,15.8,15
Minnesota,6.9,7.8,8.5,7.8,8.3,9.2,9.8,9.5,9.6,11,11.6,11.9,11.4,11.2,11.5,10.2,9.9
Mississippi,18.2,18.6,19.9,19.9,21.6,21.3,21.1,20.6,21.2,21.9,22.4,22.6,24.2,24,21.5,22,20.8
Missouri,11.2,11.7,11.9,11.7,11.8,13.3,13.6,13,13.4,14.6,15.3,15.8,16.2,15.9,15.5,14.8,14
Montana,13.4,14.6,14.6,14.2,14.2,14.4,13.6,14.1,14.8,15.1,14.6,14.8,15.5,16.5,15.4,14.6,13.3
Nebraska,9.6,10.3,11,10.8,11,10.9,11.5,11.2,10.8,12.3,12.9,13.1,13,13.2,12.4,12.6,11.4
Nevada,9.9,9.7,11.8,11.5,12.6,11.1,10.3,10.7,11.3,12.4,14.9,15.9,16.4,15.8,15.2,14.7,13.8
New Hampshire,5.3,6,6.4,7.7,7.6,7.5,8,7.1,7.6,8.5,8.3,8.8,10,8.7,9.2,8.2,7.3
New Jersey,7.9,7.9,7.5,8.4,8.5,8.7,8.7,8.6,8.7,9.4,10.3,10.4,10.8,11.4,11.1,10.8,10.4
New Mexico,18,17.7,18.9,18.6,19.3,18.5,18.5,18.1,17.1,18,20.4,21.5,20.8,21.9,21.3,20.4,19.8
New York,13.1,13.4,13.1,13.5,14.2,13.8,14.2,13.7,13.6,14.2,14.9,16,15.9,16,15.9,15.4,14.7
North Carolina,13.1,14.1,14.2,14,15.2,15.1,14.7,14.3,14.6,16.3,17.5,17.9,18,17.9,17.2,16.4,15.4
North Dakota,11.6,12.1,12.5,11.7,12.1,11.2,11.4,12.1,12,11.7,13,12.2,11.2,11.8,11.511,11,10.7
Ohio,11.1,11,11.9,12.1,12.5,13,13.3,13.1,13.4,15.2,15.8,16.4,16.3,16,15.8,14.8,14.6
Oklahoma,13.8,15.5,15,16.1,15.3,16.5,17,15.9,15.9,16.2,16.9,17.2,17.2,16.8,16.6,16.1,16.3
Oregon,13.2,13.4,13.2,13.9,14.1,14.1,13.3,12.9,13.6,14.3,15.8,17.5,17.2,16.7,16.6,15.4,13.3
Pennsylvania,10.5,10.7,10.5,10.9,11.7,11.9,12.1,11.6,12.1,12.5,13.4,13.8,13.7,13.7,13.6,13.2,12.9
Rhode Island,10.7,12,10.7,11.3,12.8,12.3,11.1,12,11.7,11.5,14,14.7,13.7,14.3,14.3,13.9,12.8
South Carolina,14.4,13.4,14.2,14.1,15.7,15.6,15.7,15,15.7,17.1,18.2,18.9,18.3,18.6,18,16.6,15.3
South Dakota,11.5,11.6,11.4,11.1,11,13.6,13.6,13.1,12.5,14.2,14.4,13.9,13.4,14.2,14.2,13.7,13.3
Tennessee,13.5,14.3,14.5,13.8,14.5,15.5,16.2,15.9,15.5,17.1,17.7,18.3,17.9,17.8,18.3,16.7,15.8
Texas,15.1,15,15.6,16.3,16.6,17.6,16.9,16.3,5.8,17.2,17.9,18.5,17.9,17.5,17.2,15.9,15.6
Utah,8.8,8.6,10.5,10.6,10.9,10.2,10.6,9.7,9.6,11.5,13.2,13.5,12.8,12.7,11.7,11.3,10.2
Vermont,10.7,10.4,8.5,9.7,9,11.5,10.3,10.1,10.6,11.4,12.7,11.5,11.8,12.3,12.2,10.2,11.9
Virginia,9.2,9.3,9.9,9,9.5,10,9.6,9.9,10.2,10.5,11.1,11.5,11.7,11.7,11.8,11.2,11
Washington,11.6,10.8,11.4,11,13.1,11.9,11.8,11.4,11.3,12.3,13.4,13.9,13.5,14.1,13.2,12.2,11.3
West Virginia,18.6,17.2,17.2,18.5,17.9,18,17.3,16.9,17,17.7,18.1,18.6,17.8,18.5,18.3,17.9,17.9
Wisconsin,8.9,9.8,9.7,10.5,10.7,10.2,11,10.8,10.4,12.4,13.2,13.1,13.2,13.5,13.2,12.1,11.8
Wyoming,11.4,11.4,11,9.7,10.3,9.5,9.4,8.7,9.4,9.8,11.2,11.3,12.6,10.9,11.2,11.1,11.3
